subjectCode,courseNumber,distDesg,courseTitle
AFST,303,"['YCHU', 'YCSO']",Civil Sphere and Democracy
AFST,001,"['YCHU', 'YCWR']",Egypt and Northeast Africa: A Multidisciplinary Approach
AFST,353,['YCHU'],Introduction to Ethnomusicology
AFST,491,[],The Senior Essay
AFST,213,['YCSO'],"Hybrid Grammars: Dynamics of Language Contact, Acquisition, and Change"
AFST,281,['YCSO'],Comparative Syntax: A View from Kwa (Niger-Congo)
AFST,425,"['YCHU', 'YCL5']",North African French Poetry
AFST,448,"['YCHU', 'YENJ']",Memoir in Africa: Life Writing and the Construction of Continent
AFST,217,['YCSO'],Change and Mobility in Contemporary Africa
AFST,360,['YCSO'],African Migration and Diaspora
AFST,368,"['YCHU', 'YCWR']",Commodities of Colonialism in Africa
AFST,180,['YCSO'],Nigeria and Its Diaspora
AFST,135,[],Media and Conflict
AFST,382,['YCSO'],Child Health and Development in Africa
AFST,200,['YCSO'],Social Dimensions of Evolution in Africa
AFST,378,['YCSO'],Foreign Assistance to Sub-Saharan Africa: Archival Data Analysis
AFST,305,['YCSO'],Social Enterprise in Developing Economies I
AFST,128,['YCHU'],Magic and Ritual in Ancient Egypt
AKKD,120,['YCL2'],Elementary Akkadian II
ASL,120,['YCL2'],American Sign Language II
ASL,140,['YCL4'],American Sign Language IV
AMST,405,"['YCHU', 'YCWR']",Autobiography in America
AMST,310,"['YCHU', 'YCSO', 'YCWR']",Interdisciplinary Approaches to African American Studies
AMST,025,['YCHU'],The American Essay Tradition
AMST,314,[],Gender and Transgender
AMST,368,[],Marxism and Social Movements in the Nineteenth Century
AMST,472,[],Individual Reading and Research for Juniors and Seniors
AMST,491,[],Senior Project
AMST,494,[],Senior Project for the Intensive Major
AMST,425,"['YCHU', 'YCWR']",American Culture and the Rise of the Environment
AMST,475,"['YCHU', 'YCWR']",Performing American Literature
AMST,304,['YCHU'],Food and Documentary
AMST,206,['YCSO'],Introduction to Critical Refugee Studies
AMST,371,['YCSO'],"Food, Race, and Migration in United States Society"
AMST,464,[],Documentary Film Workshop
AMST,398,"['YCHU', 'YCWR']",American Indian Law and Policy
AMST,199,"['YCHU', 'YXWR']",The American Century
AMST,236,['YCHU'],American Energy History
AMST,370,"['YCHU', 'YCWR']",The History of Dance
AMST,484,['YCHU'],"Visual Kinship, Families, and Photography"
AMST,234,"['YCHU', 'YCSO']",Spiritual But Not Religious
AMST,197,['YCHU'],American Architecture and Urbanism
AMST,448,['YCHU'],Samuel Delany and His Worlds
AMST,258,['YCHU'],Wilderness in the North American Imagination
AMST,428,"['YCHU', 'YCWR']","Food in Literature, Culture, and Science"
AMST,423,"['YCHU', 'YCWR']",New Directions in Caribbean History
AMST,331,[],"Photographing the City: Urban Pictures, Urban Places"
AMST,455,['YCSO'],Youth Cultures in the Americas
AMST,411,['YCHU'],Introduction to Documentary Studies
AMST,299,['YCHU'],The History of Right Now
AMST,387,['YCSO'],American Nationalism and the Muslim 'Other'
AMST,028,"['YCHU', 'YCWR']",The History of the Book in the American West
AMST,363,['YCHU'],Indigenous Feminisms
AMST,361,"['YCHU', 'YCSO']",Comparative Colonialisms
AMST,453,"['YCHU', 'YCWR']",The United States Constitution of 1787
AMST,336,[],American Fascism
AMST,388,['YCHU'],"James Baldwin 1964-1987: Transnationalism, Exile & Intimacy"
AMST,240,['YCSO'],"Athletes, Activism, Public Policy, and the Media"
AMST,303,['YCHU'],"Plantation, Prison, and Ghetto in the United States"
AMST,337,['YCHU'],The Afterlives of Slavery in the United States
AMST,209,['YCSO'],"Race, Politics, and the Law"
AMST,476,"['YCHU', 'YCSO']",Race & Caste
GREK,120,['YCL2'],Beginning Greek: Review of Grammar and Selected Readings
GREK,125,"['YCL1', 'YCL2']",Intensive Beginning Greek
GREK,141,['YCL3'],Homer: An Introduction
GREK,454,['YCL5'],"Greek Myth, Fiction, and Science Fiction"
GREK,463,['YCL5'],Praxis and Theory of the Greek Symposium
GREK,494,[],Independent Tutorial in Greek Language and Literature
GREK,403,"['YCHU', 'YCL5']",The History and Structure of Ancient Greek: From Word to Text
ANTH,148L,['YCSC'],Hormones and Behavior Lab
ANTH,255,['YCSO'],Inca Culture and Society
ANTH,301,['YCSO'],Foundations of Modern Archaeology
ANTH,346,"['YANS', 'YCSO']",Anthropological Approaches to Capitalism
ANTH,362,['YANS'],Unity and Diversity in Chinese Culture
ANTH,399,['YCSO'],The Anthropology of Outer Space
ANTH,414,['YCSO'],"Hubs, Mobilities, and World Cities"
ANTH,455,"['YANS', 'YCSO']",Masculinity and Men’s Health
ANTH,462,['YCSO'],Ethnographic Perspectives on ﻿Global Health
ANTH,464,"['YANB', 'YCSC', 'YCSO']",Human Osteology
ANTH,492,[],Imaging Ancient Worlds
ANTH,335,['YCSC'],Primate Diversity and Evolution
ANTH,473,"['YCHU', 'YCSO']","Climate Change, Societal Collapse, and Resilience"
ANTH,484,['YCSO'],"Men, Manhood, and Masculinity"
ANTH,381,['YCSO'],Sex and Global Politics
ANTH,476,['YCSO'],GIS and Spatial Analysis for Archaeology
ANTH,267,"['YANB', 'YCSO']",Human Evolution
ANTH,389,"['YCHU', 'YCWR']",Politics of Culture in Iran
ANTH,471,[],Readings in Anthropology
ANTH,472,[],Readings in Anthropology
ANTH,491,[],The Senior Essay
ANTH,397,"['YANA', 'YCSO']",Archaeology of East Asia
ANTH,242,"['YANB', 'YCSC', 'YCSO']",Human Evolutionary Biology and Life History
ANTH,280,"['YANB', 'YCSO', 'YXWR']",Evolution of Primate Intelligence
ANTH,363,"['YCHU', 'YCSO']",Archaeologies of Empire
ANTH,333,"['YANL', 'YCSO']",Bilingualism in Social Context
ANTH,371,"['YANS', 'YCSO']",Modern Indonesia
ANTH,110,"['YANS', 'YCSO']",An Introduction to Cultural Anthropology
ANTH,253,['YCSO'],Introduction to Experimental Archaeology
ANTH,405,['YCSO'],"Digital China: Using Computational Methods to Illuminate Society, Politics, Culture, and History"
ANTH,441,['YCSO'],Gender and Citizenship in the Middle East
ANTH,470,['YCSO'],Youth Cultures in the Americas
ANTH,304,['YCSO'],Transnational Migration and East Asia
ANTH,311,"['YANS', 'YCSO']",Anthropological Theory and the Post Colonial Encounter
ANTH,411,['YCSO'],Digital Anthropology
ANTH,449,['YCSO'],Mass Violence and Its Aftermaths in Southeast Asia
ANTH,309,['YCSO'],Language and Culture
ANTH,402,"['YANS', 'YCSO']",Ethnographic Writing and Its Discontents
ANTH,451,"['YANS', 'YCSO']",Intersectionality and Women’s Health
ANTH,148,"['YCSC', 'YPYN']",Hormones and Behavior
ANTH,061,['YCSO'],Understanding Human Origins
ANTH,401,"['YANL', 'YCSO']",Meaning and Materiality
ANTH,360,['YCSO'],African Migration and Diaspora
ANTH,453,"['YCSO', 'YCWR']",Health Disparities and Health Equity
ANTH,317,"['YANS', 'YCSO']",Energy and Power
ANTH,338,['YCSO'],Gender and Politics After Socialism
ANTH,365,[],"Gender, Development and Technology"
ANTH,200,['YCSO'],Social Dimensions of Evolution in Africa
AMTH,160,['YCQR'],The Structure of Networks
AMTH,480,[],Directed Reading
AMTH,482,[],Research Project
AMTH,490,[],Senior Seminar and Project
AMTH,491,[],Senior Project
AMTH,361,['YCQR'],Data Analysis
AMTH,364,['YCQR'],Information Theory
AMTH,222,"['YCQR', 'YMAT']",Linear Algebra with Applications
AMTH,247,"['YCQR', 'YMAS']",Partial Differential Equations
AMTH,244,"['YCQR', 'YMAS', 'YMAT']",Discrete Mathematics
APHY,100,"['YCQR', 'YCSC']",Energy Technology and Society
APHY,110,"['YCQR', 'YCSC']",The Technological World
APHY,322,"['YCQR', 'YCSC']",Electromagnetic Waves and Devices
APHY,449,"['YCQR', 'YCSC']",Solid State Physics II
APHY,450,"['YCQR', 'YCSC']",Advanced Synchrotron Techniques and Electron Spectroscopy of Materials
APHY,470,"['YCQR', 'YCSC']",Statistical Methods with Applications in Science and Finance
APHY,471,[],Senior Special Projects
APHY,472,[],Senior Special Projects
APHY,194,['YCQR'],Ordinary and Partial Differential Equations with Applications
APHY,151,['YCQR'],Multivariable Calculus for Engineers
APHY,321,"['YCQR', 'YCSC']",Semiconductor Silicon Devices and Technology
APHY,418,"['YCQR', 'YCSC']",Advanced Electron Devices
ARBC,120,['YCL2'],Elementary Modern Standard Arabic II
ARBC,140,['YCL4'],Intermediate Modern Standard Arabic II
ARBC,146,['YCL4'],Intermediate Classical Arabic II
ARBC,151,['YCL5'],Advanced Modern Standard Arabic II
ARBC,171,['YCL5'],Hunger in Eden: Mohamed Choukri’s Narratives
ARBC,450,[],History of the Arabic Language
ARBC,471,[],Directed Reading and Research
ARCG,255,['YCSO'],Inca Culture and Society
ARCG,464,"['YCSC', 'YCSO']",Human Osteology
ARCG,492,[],Imaging Ancient Worlds
ARCG,473,"['YCHU', 'YCSO']","Climate Change, Societal Collapse, and Resilience"
ARCG,362,"['YCQR', 'YCSC']",Observing Earth from Space
ARCG,001,"['YCHU', 'YCWR']",Egypt and Northeast Africa: A Multidisciplinary Approach
ARCG,476,['YCSO'],GIS and Spatial Analysis for Archaeology
ARCG,267,['YCSO'],Human Evolution
ARCG,491,[],Senior Research Project in Archaeology
ARCG,471,[],Directed Reading and Research in Archaeology
ARCG,472,[],Directed Reading and Research in Archaeology
ARCG,397,['YCSO'],Archaeology of East Asia
ARCG,363,"['YCHU', 'YCSO']",Archaeologies of Empire
ARCG,253,['YCSO'],Introduction to Experimental Archaeology
ARCG,128,['YCHU'],Magic and Ritual in Ancient Egypt
ARCH,154,[],Drawing Architecture
ARCH,162,[],Materials in Architecture
ARCH,200,['YCHU'],Scales of Design
ARCH,230,['YCSO'],Introduction to the Study of the City
ARCH,251,[],Methods and Form in Architecture II
ARCH,341,['YCHU'],Globalization Space
ARCH,362,[],Urban Lab: City Making
ARCH,471,[],Individual Tutorial
ARCH,494,[],Senior Project Design Studio
ARCH,491,[],Senior Project
ARCH,280,['YCHU'],American Architecture and Urbanism
ARCH,360,['YCHU'],Urban Lab: An Urban World
ARCH,356,['YCHU'],MANY: Facilitating Migration through an Exchange of Needs
ARCH,312,['YCHU'],"Modern Architecture in a Global Context, 1750-present"
ART,004,['YCHU'],Words and Pictures
ART,007,[],Art of the Game
ART,012,['YCHU'],On Activism: The Visual Representation of Protest and Disruption
ART,110,['YCHU'],Sculpture Basics
ART,111,['YCHU'],Visual Thinking
ART,114,['YCHU'],Basic Drawing
ART,116,['YCHU'],Color Practice
ART,120,['YCHU'],Introduction to Sculpture: Wood
ART,130,['YCHU'],Painting Basics
ART,132,['YCHU'],Introduction to Graphic Design
ART,136,['YCHU'],Black & White Photography Capturing Light
ART,138,['YCHU'],Seeing in Color With Digital Photography
ART,142,[],Introductory Documentary Filmmaking
ART,145,[],Introduction to Digital Video
ART,184,[],3D Modeling for Creative Practice
ART,224,[],Figure Drawing
ART,241,[],Introductory Film Writing and Directing
ART,265,[],"Typography: Expression, Structure, and Sequence"
ART,285,[],Digital Animation
ART,301,['YCHU'],Critical Theory in and Out of the Studio
ART,324,[],Painting Materials and Methods
ART,331,[],Intermediate Painting
ART,338,[],Contemporary Problems in Color with Digital Photography
ART,341,[],Intermediate Film Writing and Directing
ART,368,[],Graphic Design Methodologies
ART,369,[],Interactive Design and the Internet
ART,379,[],Form For Content With the View Camera
ART,401,[],Advanced Project in Photography
ART,433,['YCHU'],Painting Studio: Space and Abstraction
ART,443,[],Advanced Film Writing and Directing
ART,457,[],Interdisciplinary Printmaking
ART,469,[],"Advanced Graphic Design: History, Editing, and Interpretation"
ART,472,[],Independent Projects
ART,496,[],Senior Project II
ART,235,['YCHU'],Dance Theater
ART,264,[],Typography!
ART,337,['YCHU'],Picturing Us: Representation in Digital Photography
ART,014,['YCHU'],Research in the Making
ART,342,['YCHU'],Intermediate Documentary Filmmaking
ASTR,030,"['YCSC', 'YCWR']",Search for Extraterrestrial Life
ASTR,120,"['YCQR', 'YCSC']",Galaxies and the Universe
ASTR,156,['YCSC'],Introduction to Digital Dome Media
ASTR,160,"['YCQR', 'YCSC']",Frontiers and Controversies in Astrophysics
ASTR,180,"['YCQR', 'YCSC']",Introduction to Relativity
ASTR,210,"['YCQR', 'YCSC']",Stars and Their Evolution
ASTR,255,"['YCQR', 'YCSC']",Research Methods in Astrophysics
ASTR,320,"['YCQR', 'YCSC']",Physical Processes in Astronomy
ASTR,360,"['YCQR', 'YCSC']",Interstellar Matter and Star Formation
ASTR,465,"['YCQR', 'YCSC']",The Evolving Universe
ASTR,472,[],Independent Project in Astronomy
ASTR,491,[],The Two-Term Senior Project
ASTR,492,[],The One-Term Senior Project
ASTR,445,[],YData: ExoStatistics: Exploring Extrasolar Planets with Data Science
ASTR,343,"['YCQR', 'YCSC']","Gravity, Astrophysics, and Cosmology"
BIOL,102,['YCSC'],Principles of Cell Biology
BIOL,103,['YCSC'],Genetics and Development
BIOL,101,['YCSC'],Biochemistry and Biophysics
BIOL,104,['YCSC'],Principles of Ecology and Evolutionary Biology
BENG,465,['YCQR'],Dynamical Systems in Biology
BENG,476,"['YCQR', 'YCSC']",Advanced Computational Vision
BENG,249,['YCQR'],Introduction to Biomedical Computation
BENG,351,['YCQR'],Biotransport and Kinetics
BENG,352,['YCQR'],Biomedical Signals and Images
BENG,405,[],Biotechnology and the Developing World
BENG,406,['YCSC'],Medical Software Design
BENG,411,['YCSC'],BioMEMS and Biomedical Microdevices
BENG,435,['YCSC'],Biomaterial-Tissue Interactions
BENG,444,"['YCQR', 'YCSC']",Fundamentals of Medical Imaging
BENG,449,['YCQR'],Biomedical Data Analysis
BENG,455,['YCQR'],Vascular Mechanics
BENG,456,"['YCQR', 'YCSC']",Molecular and Cellular Biomechanics
BENG,467,"['YCQR', 'YCSC']",Systems Biology of Cell Signaling
BENG,472,[],Special Projects
BENG,474,[],Senior Project
BENG,485,"['YCSC', 'YCWR']",Fundamentals of Neuroimaging
BENG,356L,['YCSC'],Biomedical Engineering Laboratory
BENG,458,['YCQR'],Multiscale Models of Biomechanical Systems
BENG,404,[],Medical Device Design and Innovation
SBCR,120,['YCL2'],Elementary Bosnian-Croatian-Serbian II
SBCR,140,['YCL4'],Intermediate Bosnian Croatian Serbian II
BRST,182,['YCHU'],"The Tudors and the English Renaissance, 1509–1603"
BRST,157,['YCHU'],Monuments and Memory: Ways of Remembering in Post-Medieval England 1600-2018
BRST,208,"['YCHU', 'YCWR']",Discovering Literary London
BRST,207,"['YCHU', 'YCWR', 'YENJ']",Shakespeare In London Today
BURM,120,['YCL2'],Elementary Burmese II
CENG,150,"['YCQR', 'YCSC']",Engineering Improv: An Introduction to Engineering Analysis
CENG,301,"['YCQR', 'YCSC']",Chemical Kinetics and Chemical Reactors
CENG,315,"['YCQR', 'YCSC']",Transport Phenomena
CENG,412L,['YCSC'],Chemical Engineering Laboratory and Design
CENG,416,"['YCQR', 'YCSC']",Chemical Engineering Process Design
CENG,471,[],Independent Research
CENG,490,[],Senior Research Project
CENG,351,['YCQR'],Biotransport and Kinetics
CENG,120,"['YCQR', 'YCSC']",Introduction to Environmental Engineering
CHEM,104,['YCSC'],Chemistry of Food and Cooking
CHEM,165,"['YCQR', 'YCSC']",General Chemistry II
CHEM,167,"['YCQR', 'YCSC']",Comprehensive University Chemistry II
CHEM,175,['YCSC'],Organic Chemistry for First Year Students II
CHEM,220,['YCSC'],Organic Chemistry
CHEM,221,['YCSC'],The Organic Chemistry of Life Processes
CHEM,426,"['YCQR', 'YCSC']",Computational Chemistry and Biochemistry
CHEM,252,['YCSC'],Introductory Inorganic Chemistry
CHEM,333,"['YCQR', 'YCSC']",Physical Chemistry with Applications in the Physical Sciences II
CHEM,136L,['YCSC'],General Chemistry Laboratory II
CHEM,222L,['YCSC'],Laboratory for Organic Chemistry I
CHEM,223L,['YCSC'],Laboratory for Organic Chemistry II
CHEM,251L,"['YCSC', 'YXWR']",Inorganic Chemistry Laboratory
CHEM,335L,['YCSC'],Materials and Biophysical Chemistry Laboratory
CHEM,490,[],Independent Research in Chemistry
CHEM,480,[],Introduction to Independent Research in Chemistry
CHEM,425,['YCSC'],Spectroscopic Methods of Structure Determination
CHEM,442,"['YCQR', 'YCSC']",Molecules and Radiation II
CHEM,450,['YCSC'],Physical Methods in Inorganic Chemistry
CHEM,161,"['YCQR', 'YCSC']",General Chemistry I
CHEM,330L,['YCSC'],Laboratory for Physical Chemistry I
CHEM,331L,['YCSC'],Laboratory for Physical Chemistry II
CHEM,134L,['YCSC'],General Chemistry Laboratory I
CHLD,126,['YCSO'],Clinical Child Development and Assessment of Young Children
CHLD,127,"['YCSO', 'YCWR']",Theory and Practice of Early Childhood Education
CHLD,128,"['YCSO', 'YCWR']","Language, Literacy, and Play"
CHLD,350,['YCSO'],Autism and Related Disorders
CHNS,120,['YCL2'],Elementary Modern Chinese II
CHNS,122,['YCL2'],Elementary Modern Chinese for Advanced Learners II
CHNS,130,['YCL3'],Intermediate Modern Chinese I
CHNS,140,['YCL4'],Intermediate Modern Chinese II
CHNS,142,['YCL4'],Intermediate Modern Chinese for Advanced Learners II
CHNS,151,['YCL5'],Advanced Modern Chinese II
CHNS,153,['YCL5'],Advanced Modern Chinese for Advanced Learners II
CHNS,155,['YCL5'],Upper Advanced Modern Chinese IV
CHNS,163,['YCL5'],Upper Advanced Modern Chinese for Advanced Learners IV
CHNS,165,['YCL5'],Readings in  Modern Chinese Fiction
CHNS,167,['YCL5'],Chinese Media and Society
CHNS,169,['YCL5'],Chinese for Global Enterprises
CHNS,171,['YCL5'],Introduction to Literary Chinese II
CLCV,119,"['YCHU', 'YXWR']",The Invention of the Classic
CLCV,207,"['YCHU', 'YXWR']",The Roman Empire
CLCV,319,['YCHU'],"The Olympic Games, Ancient and Modern"
CLCV,204,"['YCHU', 'YXWR']",Alexander the Great and the Hellenistic World
CLCV,494,[],Independent Tutorial in Classical Civilization
CLCV,451,[],Two-Term Senior Project for the Major in Classical Civilization
CLCV,452,[],One-Term Senior Project for the Major in Classical Civilization
CLCV,212,"['YCHU', 'YCWR']",Ancient Greek and Roman Novels in Context
CLCV,045,"['YCHU', 'YCWR']",Authors and Readers After Antiquity:  Reimagining Literature in the Postclassical World
CLSS,402,"['YCHU', 'YCL5']",Advanced Latin Paleography
CLSS,491,[],Two-Term Senior Essay for the Intensive Major in Classics
CLSS,492,[],One-Term Senior Essay for the Intensive Major in Classics
CGSC,395,[],Junior Colloquium in Cognitive Science
CGSC,472,[],Directed Research in Cognitive Science
CGSC,474,[],Directed Reading in Cognitive Science
CGSC,491,[],Senior Project
CGSC,216,['YCSO'],Cognitive Science of Language
CGSC,277,['YCHU'],"Propaganda, Ideology, and Democracy"
CGSC,426,['YCHU'],The Cognitive Science of Morality
CGSC,425,['YCSO'],Social Perception
CGSC,437,['YCSO'],"Minds, Brains, and Machines"
CGSC,352,['YCSC'],Arrested or Adaptive Development in the Adolescent Brain
LITR,299,['YCHU'],"Colonial Narrative, Postcolonial Counternarrative"
LITR,165,"['YCHU', 'YXWR']",The Invention of the Classic
LITR,169,"['YCHU', 'YCWR']",Epic in the European Literary Tradition
LITR,362,['YCHU'],Intermediality in Film
LITR,453,['YCHU'],Being a Person
LITR,359,"['YCHU', 'YCWR']",Italian Film from Postwar to Postmodern
LITR,140,['YCHU'],How To Compare
LITR,143,"['YCHU', 'YXWR']",World Cinema
LITR,260,"['YCHU', 'YCWR']",Brazilian Novel of the 21st Century
LITR,289,['YCHU'],"Literature of the Americas, North and South"
LITR,279,['YCHU'],"Introduction to Vietnamese Culture, Values, and Literature"
LITR,220,['YCHU'],Milan Kundera: The Czech Novelist and French Thinker
LITR,301,"['YCHU', 'YCWR']",Putin's Russia and Protest Culture
LITR,175,"['YCHU', 'YCWR']",Japan's Classics in Text and Image
LITR,265,['YCHU'],China in the World
LITR,251,['YCHU'],Japanese Literature after 1970
LITR,437,['YCHU'],"Judeo-Spanish Culture, Language, and Literature"
LITR,488,[],Directed Reading and/or Individual Research
LITR,491,[],The Senior Essay
LITR,492,[],The Yearlong Senior Essay
LITR,493,[],The Yearlong Senior Essay
LITR,184,['YCHU'],Women and the Supernatural in Medieval Literature
LITR,466,['YCHU'],War in Literature and Film
LITR,330,['YCHU'],Heidegger's Being and Time
LITR,439,['YCHU'],Living Form: Organicism in Society and Aesthetics
LITR,446,"['YCHU', 'YCL5']","Experimental Literature, Theory, and Manifestoes"
LITR,228,['YCHU'],Reflections on the Holocaust
LITR,426,"['YCHU', 'YCWR']",Feminist and Queer Theory
LITR,235,['YCHU'],Modern Jewish Poets
LITR,305,[],Advanced Literary Translation
LITR,267,['YCL5'],Hunger in Eden: Mohamed Choukri’s Narratives
LITR,444,[],Modern Arabic Poetry and Poetics
LITR,323,"['YCHU', 'YCWR']",Animals in Literature and Theory
LITR,317,['YCHU'],Marxist Theory of Literature
LITR,229,"['YCHU', 'YCL5']",History of Portuguese Literature Major Works & Authors
LITR,212,['YCHU'],"USA: Travelers, Immigrants, Exiles from Italy (1920-2001)"
LITR,349,['YCHU'],Tragedy and Drama of Reconciliation
LITR,151,['YCHU'],The Wisdom of Ancient Egypt
LITR,180,['YCHU'],Women in the Middle Ages
CPSC,035,[],Twenty-First Century Electronic and Computer Music Techniques
CPSC,101,['YCQR'],Great Ideas in Computer Science
CPSC,112,['YCQR'],Introduction to Programming
CPSC,184,"['YCHU', 'YCSO']",Intellectual Property in the Digital Age
CPSC,185,"['YCSO', 'YCWR']","Control, Privacy, and Technology"
CPSC,200,['YCQR'],Introduction to Information Systems
CPSC,201,"['YCQR', 'YMAS']",Introduction to Computer Science
CPSC,223,['YCQR'],Data Structures and Programming Techniques
CPSC,290,[],Directed Research
CPSC,365,"['YCQR', 'YMAS']",Algorithms
CPSC,423,['YCQR'],Principles of Operating Systems
CPSC,432,['YCQR'],Computer Music: Sound Representation and Synthesis
CPSC,434,['YCQR'],Topics in Networked Systems
CPSC,439,['YCQR'],Software Engineering
CPSC,451,[],The User Interface
CPSC,465,['YCQR'],Theory of Distributed Systems
CPSC,470,['YCQR'],Artificial Intelligence
CPSC,476,"['YCQR', 'YCSC']",Advanced Computational Vision
CPSC,477,['YCQR'],Natural Language Processing
CPSC,479,['YCQR'],Advanced Topics in Computer Graphics
CPSC,480,[],Directed Reading
CPSC,490,[],Senior Project
CPSC,338,['YCQR'],Digital Systems
CPSC,456,[],Wireless Technologies and the Internet of Things
CPSC,366,['YCQR'],Intensive Algorithms
CPSC,367,['YCQR'],Cryptography and Security
CPSC,446,[],Data and Information Visualization
CPSC,210,['YCSO'],"Power, Security, and Surveillance: Political Challenges of the Computer Age"
CPSC,310,"['YCQR', 'YCSO']","Technology, Power, and Security: Political Challenges of the Computer Age"
CPSC,427,['YCQR'],Object-Oriented Programming
CPSC,235,['YCQR'],Self-Driving Cars: Theory and Practice
CPSC,429,['YCSO'],Introduction to Human-Computer Interaction
CPAR,291,[],Special Projects
CPAR,491,[],Senior Project in Computing and the Arts
CZEC,120,['YCL2'],Elementary Czech II
CZEC,140,['YCL4'],Advanced Czech
CZEC,301,['YCHU'],Milan Kundera: The Czech Novelist and French Thinker
DRST,002,"['YCHU', 'YCWR']",Directed Studies: Literature
DRST,004,"['YCHU', 'YCWR']",Directed Studies: Philosophy
DRST,006,['YCSO'],Directed Studies: Historical and Political Thought
DUTC,140,['YCL4'],Intermediate Dutch II
DUTC,160,[],Advanced Dutch II
EALL,206,"['YCHU', 'YCWR']",Japan's Classics in Text and Image
EALL,255,['YCHU'],Japanese Modernism
EALL,256,['YCHU'],China in the World
EALL,265,['YCHU'],Japanese Literature after 1970
EALL,299,['YCHU'],Decolonizing East Asia
EALL,470,[],Independent Tutorial
EALL,471,[],Independent Tutorial
EALL,491,[],Senior Essay
EALL,492,[],Yearlong Senior Essay
EALL,493,[],Yearlong Senior Essay
EALL,304,['YCHU'],"Li Yu (1610-1680): Playwright, Storyteller, Pornographer"
EALL,233,['YCHU'],History of Chinese Imperial Parks and Private Gardens
EALL,294,['YCHU'],Death and the Afterlife in Chinese Cultures
EAST,417,['YCSO'],"Hubs, Mobilities, and World Cities"
EAST,480,[],One-Term Senior Essay
EAST,492,[],Senior Research Project
EAST,454,['YCSO'],Economic and Policy Lessons from Japan
EAST,358,['YCHU'],China in the World
EAST,344,['YCSO'],Governing China
EAST,404,['YCHU'],The City in Modern East Asia
EAST,402,['YCHU'],Chinese Art and Archaeology at the Yale University Art Gallery
EAST,393,['YCHU'],Death and the Afterlife in Chinese Cultures
EAST,392,['YCHU'],Buddhism and Sexuality
EAST,403,['YCSO'],"Digital China: Using Computational Methods to Illuminate Society, Politics, Culture, and History"
EAST,335,['YCHU'],Zen Buddhism
EAST,407,['YCSO'],The Political Economy of Reform in China
EAST,400,['YCSO'],Politics and Economics in Japan
EAST,250,"['YCHU', 'YCWR']",Japan's Classics in Text and Image
EAST,319,['YCHU'],Tokugawa Japan and the Human Condition
EAST,243,['YCHU'],History of Chinese Imperial Parks and Private Gardens
E&EB,464,"['YCSC', 'YCSO']",Human Osteology
E&EB,145,['YCSC'],Plants and People
E&EB,175L,['YCSC'],Virus Discovery and Evolution
E&EB,223L,['YCSC'],"Evolution, Functional Traits, and the Tree of Life"
E&EB,225,"['YCSC', 'YPYA']",Evolutionary Biology
E&EB,228,['YCSC'],Ecology and Evolution of Infectious Diseases
E&EB,272,['YCSC'],Ornithology
E&EB,273L,['YCSC'],Laboratory for Ornithology
E&EB,290,['YCSC'],Comparative Developmental Anatomy of Vertebrates
E&EB,291L,['YCSC'],Comparative Anatomy of Vertebrates Laboratory
E&EB,295,['YCSC'],Comparative Physiology
